PKLR	Pyruvate kinase PKLR
HSF4	Heat shock factor protein 4
HSPA2	Heat shock-related 70 kDa protein 2
HSPA2	Heat shock-related 70 kDa protein 2
HSPA2	Heat shock-related 70 kDa protein 2
HSPA2	Heat shock-related 70 kDa protein 2
HSPA2	Heat shock-related 70 kDa protein 2
YWHAE	14-3-3 protein epsilon
YWHAE	14-3-3 protein epsilon
DNAJB1	DnaJ homolog subfamily B member 1
DNAJB1	DnaJ homolog subfamily B member 1
RPA3	Replication protein A 14 kDa subunit
HSBP1	Heat shock factor-binding protein 1
HSBP1	Heat shock factor-binding protein 1
P2RX3	P2X purinoceptor 3
CLPB	Caseinolytic peptidase B protein homolog
RPA1	Replication protein A 70 kDa DNA-binding subunit
PEBP1	Phosphatidylethanolamine-binding protein 1
HSF2	Heat shock factor protein 2
HSF2	Heat shock factor protein 2
CXCL12	Stromal cell-derived factor 1
POLR2D	DNA-directed RNA polymerase II subunit RPB4
HSPA9	Stress-70 protein, mitochondrial
CREBBP	CREB-binding protein
TRPV1	Transient receptor potential cation channel subfamily V member 1
DNAJB4	DnaJ homolog subfamily B member 4
SLU7	Pre-mRNA-splicing factor SLU7
CRNN	Cornulin
HSFX1	Heat shock transcription factor, X-linked
HSFX1	Heat shock transcription factor, X-linked
BAG5	BAG family molecular chaperone regulator 5
EIF2S1	Eukaryotic translation initiation factor 2 subunit 1
EIF2B1	Translation initiation factor eIF-2B subunit alpha
EIF2B1	Translation initiation factor eIF-2B subunit alpha
IGF1	Insulin-like growth factor I
RPS6KB1	Ribosomal protein S6 kinase beta-1
ATR	Serine/threonine-protein kinase ATR
ARPP21	cAMP-regulated phosphoprotein 21
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
HSF1	Heat shock factor protein 1
DNAJC2	DnaJ homolog subfamily C member 2
NF1	Neurofibromin
GCLC	Glutamate--cysteine ligase catalytic subunit
HSPA7	Putative heat shock 70 kDa protein 7
HSPA13	Heat shock 70 kDa protein 13
MAPK1	Mitogen-activated protein kinase 1
CALCA	Calcitonin
CCAR2	Cell cycle and apoptosis regulator protein 2
RPTOR	Regulatory-associated protein of mTOR
HDAC2	Histone deacetylase 2
STAC	SH3 and cysteine-rich domain-containing protein
IL1B	Interleukin-1 beta
IL1A	Interleukin-1 alpha
HSP90AB1	Heat shock protein HSP 90-beta
FKBP4	Peptidyl-prolyl cis-trans isomerase FKBP4
MICA	MHC class I polypeptide-related sequence A
MICB	MHC class I polypeptide-related sequence B
DNAJA2	DnaJ homolog subfamily A member 2
EP300	Histone acetyltransferase p300
TACR1	Substance-P receptor
MSTN	Growth/differentiation factor 8
PTGS2	Prostaglandin G/H synthase 2
MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7
HSF5	Heat shock factor protein 5
HSF5	Heat shock factor protein 5
CD14	Monocyte differentiation antigen CD14
MYOF	Myoferlin
